"Step","pca_resnet - episode_reward","pca_resnet - episode_reward__MIN","pca_resnet - episode_reward__MAX","complete_frozen_low_lr - episode_reward","complete_frozen_low_lr - episode_reward__MIN","complete_frozen_low_lr - episode_reward__MAX","cnn_scratch - episode_reward","cnn_scratch - episode_reward__MIN","cnn_scratch - episode_reward__MAX"
"9243","","","","","","","","",""
"9303","","","","","","","","",""
"9332","","","","","","","","",""
"9337","","","","","","","","",""
"9346","","","","","","","","",""
"9348","","","","","","","","",""
"9375","","","","","","","","",""
"9394","","","","","","","","",""
"9427","","","","","","","","",""
"9438","","","","","","","","",""
"9444","","","","","","","","",""
"9447","","","","","","","","",""
"9470","","","","","","","","",""
"9502","","","","","","","","",""
"9532","","","","","","","","",""
"9554","","","","","","","","",""
"9572","","","","","","","","",""
"9589","","","","","","","","",""
"9605","","","","","","","","",""
"9612","","","","","","","","",""
"9616","","","","","","","","",""
"9621","","","","","","","","",""
"9633","","","","","","","","",""
"9635","","","","","","","","",""
"9645","","","","","","","","",""
"9648","","","","","","","","",""
"9668","","","","","","","","",""
"9681","","","","","","","","",""
"9743","","","","","","","","",""
"9751","","","","","","","","",""
"9754","","","","","","","","",""
"9764","","","","","","","","",""
"9789","","","","","","","","",""
"9826","","","","","","","","",""
"9836","","","","","","","","",""
"9852","","","","","","","","",""
"9883","","","","","","","","",""
"9906","","","","","","","","",""
"9909","","","","","","","","",""
"9933","","","","","","","","",""
"9954","","","","","","","","",""
"9965","","","","","","","","",""
"9993","","","","","","","","",""
"10029","","","","","","","","",""
"10069","","","","","","","","",""
"10075","","","","","","","","",""
"10077","","","","","","","","",""
"10087","","","","","","","","",""
"10097","","","","","","","","",""
"10104","","","","","","","","",""
"10105","","","","","","","","",""
"10106","","","","","","","","",""
"10140","","","","","","","","",""
"10152","","","","","","","","",""
"10159","","","","","","","","",""
"10163","","","","","","","","",""
"10166","","","","","","","","",""
"10184","","","","","","","","",""
"10206","","","","","","","","",""
"10209","","","","","","","","",""
"10228","","","","","","","","",""
"10237","","","","","","","","",""
"10247","","","","","","","","",""
"10248","","","","","","","","",""
"10249","0.16710321851009227","0.16710321851009227","0.16710321851009227","0.16641154893424825","0.16641154893424825","0.16641154893424825","0.15779681686363017","0.15779681686363017","0.15779681686363017"
"10268","","","","","","","","",""
"10290","","","","","","","","",""
"10295","","","","","","","","",""
"10353","","","","","","","","",""
"10380","","","","","","","","",""
"10453","","","","","","","","",""
"10469","","","","","","","","",""
"10517","","","","","","","","",""
"10524","","","","","","","","",""
"10564","","","","","","","","",""
"10606","","","","","","","","",""
"10627","","","","","","","","",""
"10640","","","","","","","","",""
"10662","","","","","","","","",""
"10697","","","","","","","","",""
"10708","","","","","","","","",""
"10730","","","","","","","","",""
"10773","","","","","","","","",""
"10777","","","","","","","","",""
"10779","","","","","","","","",""
"10785","","","","","","","","",""
"10807","","","","","","","","",""
"10886","","","","","","","","",""
"10896","","","","","","","","",""
"10931","","","","","","","","",""
"10949","","","","","","","","",""
"10979","","","","","","","","",""
"10983","","","","","","","","",""
"10984","","","","","","","","",""
"11035","","","","","","","","",""
"11050","","","","","","","","",""
"11066","","","","","","","","",""
"11074","","","","","","","","",""
"11123","","","","","","","","",""
"11133","","","","","","","","",""
"11160","","","","","","","","",""
"11161","","","","","","","","",""
"11178","","","","","","","","",""
"11182","","","","","","","","",""
"11231","","","","","","","","",""
"11234","","","","","","","","",""
"11258","","","","","","","","",""
"11274","0.19642662016962517","0.19642662016962517","0.19642662016962517","0.17112876912864586","0.17112876912864586","0.17112876912864586","0.14718718135481001","0.14718718135481001","0.14718718135481001"
"11277","","","","","","","","",""
"11300","","","","","","","","",""
"11305","","","","","","","","",""
"11309","","","","","","","","",""
"11315","","","","","","","","",""
"11354","","","","","","","","",""
"11373","","","","","","","","",""
"11391","","","","","","","","",""
"11461","","","","","","","","",""
"11465","","","","","","","","",""
"11518","","","","","","","","",""
"11529","","","","","","","","",""
"11531","","","","","","","","",""
"11551","","","","","","","","",""
"11559","","","","","","","","",""
"11564","","","","","","","","",""
"11590","","","","","","","","",""
"11594","","","","","","","","",""
"11607","","","","","","","","",""
"11623","","","","","","","","",""
"11629","","","","","","","","",""
"11632","","","","","","","","",""
"11647","","","","","","","","",""
"11666","","","","","","","","",""
"11669","","","","","","","","",""
"11672","","","","","","","","",""
"11742","","","","","","","","",""
"11753","","","","","","","","",""
"11797","","","","","","","","",""
"11813","","","","","","","","",""
"11879","","","","","","","","",""
"11939","","","","","","","","",""
"11952","","","","","","","","",""
"11968","","","","","","","","",""
"11988","","","","","","","","",""
"12048","","","","","","","","",""
"12058","","","","","","","","",""
"12069","","","","","","","","",""
"12084","","","","","","","","",""
"12101","","","","","","","","",""
"12119","","","","","","","","",""
"12156","","","","","","","","",""
"12176","","","","","","","","",""
"12188","","","","","","","","",""
"12196","","","","","","","","",""
"12214","","","","","","","","",""
"12242","","","","","","","","",""
"12294","","","","","","","","",""
"12296","","","","","","","","",""
"12299","0.14619610679452558","0.14619610679452558","0.14619610679452558","0.19106625098150168","0.19106625098150168","0.19106625098150168","0.09519472947831885","0.09519472947831885","0.09519472947831885"
"12304","","","","","","","","",""
"12316","","","","","","","","",""
"12372","","","","","","","","",""
"12388","","","","","","","","",""
"12410","","","","","","","","",""
"12436","","","","","","","","",""
"12497","","","","","","","","",""
"12501","","","","","","","","",""
"12525","","","","","","","","",""
"12532","","","","","","","","",""
"12549","","","","","","","","",""
"12566","","","","","","","","",""
"12598","","","","","","","","",""
"12601","","","","","","","","",""
"12642","","","","","","","","",""
"12656","","","","","","","","",""
"12662","","","","","","","","",""
"12675","","","","","","","","",""
"12731","","","","","","","","",""
"12736","","","","","","","","",""
"12748","","","","","","","","",""
"12806","","","","","","","","",""
"12808","","","","","","","","",""
"12819","","","","","","","","",""
"12841","","","","","","","","",""
"12882","","","","","","","","",""
"12893","","","","","","","","",""
"12929","","","","","","","","",""
"12931","","","","","","","","",""
"12941","","","","","","","","",""
"12956","","","","","","","","",""
"12959","","","","","","","","",""
"12965","","","","","","","","",""
"12971","","","","","","","","",""
"12981","","","","","","","","",""
"13001","","","","","","","","",""
"13015","","","","","","","","",""
"13034","","","","","","","","",""
"13038","","","","","","","","",""
"13072","","","","","","","","",""
"13113","","","","","","","","",""
"13115","","","","","","","","",""
"13138","","","","","","","","",""
"13174","","","","","","","","",""
"13176","","","","","","","","",""
"13198","","","","","","","","",""
"13237","","","","","","","","",""
"13258","","","","","","","","",""
"13278","","","","","","","","",""
"13299","","","","","","","","",""
"13321","","","","","","","","",""
"13324","0.20491237170948984","0.20491237170948984","0.20491237170948984","0.14535413614308","0.14535413614308","0.14535413614308","0.07157517735553923","0.07157517735553923","0.07157517735553923"
"13332","","","","","","","","",""
"13336","","","","","","","","",""
"13340","","","","","","","","",""
"13354","","","","","","","","",""
"13357","","","","","","","","",""
"13388","","","","","","","","",""
"13398","","","","","","","","",""
"13453","","","","","","","","",""
"13456","","","","","","","","",""
"13477","","","","","","","","",""
"13493","","","","","","","","",""
"13498","","","","","","","","",""
"13500","","","","","","","","",""
"13513","","","","","","","","",""
"13514","","","","","","","","",""
"13542","","","","","","","","",""
"13563","","","","","","","","",""
"13566","","","","","","","","",""
"13586","","","","","","","","",""
"13590","","","","","","","","",""
"13596","","","","","","","","",""
"13603","","","","","","","","",""
"13659","","","","","","","","",""
"13708","","","","","","","","",""
"13821","","","","","","","","",""
"13853","","","","","","","","",""
"13900","","","","","","","","",""
"13948","","","","","","","","",""
"13957","","","","","","","","",""
"13974","","","","","","","","",""
"13999","","","","","","","","",""
"14018","","","","","","","","",""
"14049","","","","","","","","",""
"14079","","","","","","","","",""
"14090","","","","","","","","",""
"14092","","","","","","","","",""
"14096","","","","","","","","",""
"14130","","","","","","","","",""
"14137","","","","","","","","",""
"14141","","","","","","","","",""
"14169","","","","","","","","",""
"14170","","","","","","","","",""
"14177","","","","","","","","",""
"14207","","","","","","","","",""
"14246","","","","","","","","",""
"14253","","","","","","","","",""
"14291","","","","","","","","",""
"14298","","","","","","","","",""
"14337","","","","","","","","",""
"14349","0.1790213081186682","0.1790213081186682","0.1790213081186682","0.138746207152993","0.138746207152993","0.138746207152993","0.09317989307441982","0.09317989307441982","0.09317989307441982"
"14379","","","","","","","","",""
"14418","","","","","","","","",""
"14439","","","","","","","","",""
"14451","","","","","","","","",""
"14461","","","","","","","","",""
"14478","","","","","","","","",""
"14482","","","","","","","","",""
"14484","","","","","","","","",""
"14509","","","","","","","","",""
"14515","","","","","","","","",""
"14529","","","","","","","","",""
"14567","","","","","","","","",""
"14570","","","","","","","","",""
"14634","","","","","","","","",""
"14646","","","","","","","","",""
"14663","","","","","","","","",""
"14667","","","","","","","","",""
"14687","","","","","","","","",""
"14708","","","","","","","","",""
"14717","","","","","","","","",""
"14718","","","","","","","","",""
"14723","","","","","","","","",""
"14724","","","","","","","","",""
"14733","","","","","","","","",""
"14736","","","","","","","","",""
"14746","","","","","","","","",""
"14756","","","","","","","","",""
"14782","","","","","","","","",""
"14784","","","","","","","","",""
"14825","","","","","","","","",""
"14849","","","","","","","","",""
"14869","","","","","","","","",""
"14884","","","","","","","","",""
"14888","","","","","","","","",""
"14906","","","","","","","","",""
"14909","","","","","","","","",""
"14924","","","","","","","","",""
"14928","","","","","","","","",""
"14931","","","","","","","","",""
"14955","","","","","","","","",""
"14959","","","","","","","","",""
"14980","","","","","","","","",""
"14982","","","","","","","","",""
"14988","","","","","","","","",""
"15003","","","","","","","","",""
"15013","","","","","","","","",""
"15020","","","","","","","","",""
"15098","","","","","","","","",""
"15131","","","","","","","","",""
"15139","","","","","","","","",""
"15150","","","","","","","","",""
"15164","","","","","","","","",""
"15178","","","","","","","","",""
"15218","","","","","","","","",""
"15227","","","","","","","","",""
"15234","","","","","","","","",""
"15242","","","","","","","","",""
"15244","","","","","","","","",""
"15260","","","","","","","","",""
"15282","","","","","","","","",""
"15289","","","","","","","","",""
"15309","","","","","","","","",""
"15366","","","","","","","","",""
"15374","0.193311118816999","0.193311118816999","0.193311118816999","0.17264388867394886","0.17264388867394886","0.17264388867394886","0.1317904450157966","0.1317904450157966","0.1317904450157966"
"15385","","","","","","","","",""
"15421","","","","","","","","",""
"15443","","","","","","","","",""
"15459","","","","","","","","",""
"15467","","","","","","","","",""
"15475","","","","","","","","",""
"15506","","","","","","","","",""
"15516","","","","","","","","",""
"15583","","","","","","","","",""
"15619","","","","","","","","",""
"15643","","","","","","","","",""
"15645","","","","","","","","",""
"15687","","","","","","","","",""
"15691","","","","","","","","",""
"15692","","","","","","","","",""
"15735","","","","","","","","",""
"15746","","","","","","","","",""
"15747","","","","","","","","",""
"15748","","","","","","","","",""
"15804","","","","","","","","",""
"15815","","","","","","","","",""
"15816","","","","","","","","",""
"15818","","","","","","","","",""
"15826","","","","","","","","",""
"15831","","","","","","","","",""
"15844","","","","","","","","",""
"15856","","","","","","","","",""
"15878","","","","","","","","",""
"15888","","","","","","","","",""
"15890","","","","","","","","",""
"15898","","","","","","","","",""
"15899","","","","","","","","",""
"15916","","","","","","","","",""
"15918","","","","","","","","",""
"15923","","","","","","","","",""
"15926","","","","","","","","",""
"15941","","","","","","","","",""
"15954","","","","","","","","",""
"15975","","","","","","","","",""
"16051","","","","","","","","",""
"16091","","","","","","","","",""
"16103","","","","","","","","",""
"16117","","","","","","","","",""
"16142","","","","","","","","",""
"16145","","","","","","","","",""
"16183","","","","","","","","",""
"16193","","","","","","","","",""
"16194","","","","","","","","",""
"16202","","","","","","","","",""
"16215","","","","","","","","",""
"16223","","","","","","","","",""
"16240","","","","","","","","",""
"16249","","","","","","","","",""
"16254","","","","","","","","",""
"16287","","","","","","","","",""
"16308","","","","","","","","",""
"16314","","","","","","","","",""
"16348","","","","","","","","",""
"16352","","","","","","","","",""
"16399","0.20454808395137225","0.20454808395137225","0.20454808395137225","0.21753735892330467","0.21753735892330467","0.21753735892330467","0.07780724518413014","0.07780724518413014","0.07780724518413014"
"16410","","","","","","","","",""
"16430","","","","","","","","",""
"16483","","","","","","","","",""
"16501","","","","","","","","",""
